Country_Region,Confirmed,Deaths
Engineering Institute of Technology,N/A,N/A
Universitas Nusa Putra,N/A,N/A
University of Kyrenia,N/A,N/A
Regent University College of Science and Technology,N/A,N/A
Wroclaw Akademia Biznesu,N/A,N/A
Atharva College of Engineering,N/A,N/A
Toronto Baptist Seminary and Bible College,N/A,N/A
Universidade Comunitária da Região de Chapecó - Unochapecó,N/A,N/A
West Herts College,N/A,N/A
Bhagwan Parshuram Institute of Technology,N/A,N/A
National Institute of Applied Sciences of Toulouse,N/A,N/A
Bugema University,N/A,N/A
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),N/A,N/A
"Centro Universitário de Brasília, UNICEUB",N/A,N/A
Kharkiv National University,N/A,N/A
Universidad Técnica Federico Santa María,N/A,N/A
IÉSEG School of Management,N/A,N/A
Sun Yat-Sen University,N/A,N/A
Royal Holloway University of London,N/A,N/A
Hunan University,N/A,N/A
University of Portsmouth,N/A,N/A
Académie de Paris,N/A,N/A
Académie d'Aix-Marseille,N/A,N/A
Académie de Créteil,N/A,N/A
Marywood University,N/A,N/A
University of Petroleum and Energy Studies,N/A,N/A
Ashoka University,N/A,N/A
Indian Institute of Information Technology Sri City,N/A,N/A
Cégep de Saint-Jérôme,N/A,N/A
Lindenwood University,N/A,N/A
DAV Institute of Engineering & Technology,N/A,N/A
Lovely Professional University,N/A,N/A
Sullivan University,N/A,N/A
Florida State College at Jacksonville,N/A,N/A
Xavier University,N/A,N/A
Tusculum College,N/A,N/A
Claremont School of Theology,N/A,N/A
Somaiya Vidyavihar,N/A,N/A
Columbia College (SC),N/A,N/A
Chabot-Las Positas Community College District,N/A,N/A
Keller Graduate School of Management,N/A,N/A
Monroe College,N/A,N/A
San Mateo County Community College District,N/A,N/A
Los Rios Community College District,N/A,N/A
DigiPen Institute of Technology,N/A,N/A
University of Pittsburgh Medical Center,N/A,N/A
Claremont Graduate University,N/A,N/A
The University of Texas at Rio Grande Valley,N/A,N/A
College of Mount Saint Vincent,N/A,N/A
University of Arkansas System eVersity,N/A,N/A
ECPI University,N/A,N/A
University of Mary Washington,N/A,N/A
Baldwin Wallace University,N/A,N/A
California State University Channel Islands,N/A,N/A
Brandman University,N/A,N/A
United States Coast Guard Academy,N/A,N/A
Athens State University,N/A,N/A
The Scripps Research Institute,N/A,N/A
Eastern Florida State College,N/A,N/A
Western New England University,N/A,N/A
King University,N/A,N/A
Georgia Gwinnett College,N/A,N/A
Trident University,N/A,N/A
Alliant International University,N/A,N/A
Mississippi Valley State University,N/A,N/A
Roosevelt University,N/A,N/A
ITT Technical Institute,N/A,N/A
Illinois Eastern Community Colleges,N/A,N/A
Park University,N/A,N/A
Icahn School of Medicine at Mount Sinai,N/A,N/A
Utah Valley University,N/A,N/A
Wisconsin Lutheran College,N/A,N/A
Riverside Community College District,N/A,N/A
Wake Forest Baptist Health,N/A,N/A
University of Massachusetts Boston,N/A,N/A
Florida Polytechnic University,N/A,N/A
Wagner College,N/A,N/A
Wilmington University,N/A,N/A
International Technological University,N/A,N/A
Young Harris College,N/A,N/A
University of Findlay,N/A,N/A
Philadelphia College of Osteopathic Medicine,N/A,N/A
Yosemite Community College District,N/A,N/A
Coastal Alabama Community College,N/A,N/A
Purdue University Northwest,N/A,N/A
Columbia Basin College,N/A,N/A
Seattle Colleges,N/A,N/A
Lipscomb University,N/A,N/A
Tiffin University,N/A,N/A
NorthCap University,N/A,N/A
Troy University,N/A,N/A
42 US,N/A,N/A
California Baptist University,N/A,N/A
Stevenson University,N/A,N/A
Marine Biological Laboratory,N/A,N/A
Maryville University,N/A,N/A
The Art Institutes,N/A,N/A
University of Mississippi Medical Center,N/A,N/A
University of Central Oklahoma,N/A,N/A
Hallmark University,N/A,N/A
Keiser University,N/A,N/A
St. Johns River State College,N/A,N/A
Indian River State College,N/A,N/A
Barnard College,N/A,N/A
California Southern University,N/A,N/A
University of La Verne,N/A,N/A
Washington & Jefferson College,N/A,N/A
University of the People,N/A,N/A
Touro College,N/A,N/A
New Jersey City University,N/A,N/A
